"Code","Message"
11578,"Total order value at single repo rate can not exceed limit."
11579,"For this instrument price is less than allowed"
11580,"For this instrument price is greater than allowed"
11581,"Starting discount is less than allowed"
11582,"Starting discount is greater than allowed"
11583,"Lower discount limit is incorrect"
11584,"Upper discount limit is incorrect"
11585,"Lower discount limit must not be specified"
11586,"Upper discount limit must not be specified"
11587,"Block collateral option must be set"
11588,"Repo Rate is greater than allowed"
11594,"REPO base condition is incorrect for this board"
11599,"Invalid price2 resulted"
11600,"Minimum rate step is incorrect"
11601,"Minimum discount step is incorrect"
11602,"REPO value for this instrument is incorrect"
11603,"REPO repurchase value for this instrument is incorrect"
11608,"Not allowed client code type for this trading account."
11609,"Not allowed client code type for this trading account."
11612,"Order value is larger than allowed"
11613,"Order value is less than allowed"
11615,"Invalid deal number"
11616,"Unable to accept deal - deal is not active"
11617,"Unable to accept deal"
11618,"Unable to accept deal. Invalid security specified"
11619,"Unable to accept deal. Invalid price specified"
11620,"Unable to accept deal. Invalid quantity specified"
11621,"Unable to accept deal. Invalid settlecode specified"
11622,"Unable to accept deal. Invalid refundrate specified"
11623,"Unable to accept deal. Invalid matchref specified"
11624,"Unable to accept deal. Invalid buy/sell specified"
11625,"Warning: this will breach REPO limit. If sure, set firm's limit check flag to 'N' for position and retry"
11626,"Invalid trading account for marketmaker order"
11627,"Marketmaker orders accepted only in normal trading period"
11628,"Invalid order type for marketmaker order"
11629,"Buy Order accepted. Balance withdrawn to avoid a trade between marketmakers"
11630,"Sell Order accepted. Balance withdrawn to avoid a trade between marketmakers"
11631,"This order causes a trade between marketmakers"
11632,"Is in breach of MGF"
11633,"Is in breach of MGF"
11635,"Discount limits can not be set"
11636,"Margin call does not need any counterpart's acceptance"
11647,"Total sell quantity of a security for a firm can not exceed of its issue size on this board"
11648,"Clearing session is in progress"
11649,"Trade is already canceled -"
11650,"There is a cancel report for buy trade"
11651,"There is a cancel report for sell trade"
11652,"Trade  can not be canceled"
11653,"Cancel report  accepted & matched"
11654,"Cancel report  accepted"
11655,"Unable to select boards"
11658,"Invalid client code specified for this security"
11660,"External trade registered:"
11661,"Invalid settle date specified"
11662,"External trades withdrawn"
11663,"Invalid external trade number"
11664,"Invalid large trade flag"
11665,"No external trades to withdraw"
11666,"This trade have to be large"
11667,"Invalid large flag specified"
11668,"Invalid clearing type specified"
11669,"Only one trade can be included in simple clearing report"
11670,"Simple clearing is not currently available"
11671,"Specified tradesuccessfully settled"
11672,"Invalid trade number specified: '"
11673,"Trade already settled"
11674,"Trade unvalidated"
11675,"Trade is not in simple clearing mode"
11676,"REPO first part trade is not validated yet for trade"
11677,"REPO first part trade is not settled yet for trade"
11678,"Simple clearing is not allowed for position"
11679,"Margin calls can not be included in simple clearing"
11680,"Trade value must be not less than  for simple clearing"
11694,"Simple clearing is not allowed for this security and board"
11695,"Simple clearing is not allowed for the same trading accounts"
11699,"Counter price is not defined"
11700,"Order must be entered with counter price flag"
11701,"Order price is incorrect"
11702,"Settlement date of the REPO second part trade is not a working day"
11703,"Invalid date specified"
11704,"Only BUY orders are allowed at this moment"
11705,"Only SELL orders are allowed at this moment"
11706,"You are not an underwriter. Only security underwriters are allowed to enter order at this moment"
11707,"Invalid transaction reference"
11718,"There is a confirm report for trade"
11719,"Trade  is not included into clearing"
11720,"Special report a not available now"
11721,"ClientCode is not allowed for this trading account"
11730,"The price of the buy order should be less then the best offer price for this type of order"
11731,"The price of the sell order should be greater then the best bid price for this type of order"
11732,"The quantity of lots is less than allowed"
11733,"The quantity of lots is greater than allowed"
11734,"Volume of the order is less than allowed"
11735,"Volume of the order is greater than allowed"
11736,"Signature validation error."
11737,"Used wrong signature or EXKEYUSAGEOID"
11740,"Clients without signature are not supported"
11741,"The trading account and the secutity belong to different depositories"
11742,"Only NegDeals addressed to everyone available in that trading period"
11743,"This settle code is unavailable"
11744,"The second part of REPO trade cannot be canceled."
11745,"The transfer cannot be canceled."
11746,"Specified tradesuccessfully canceled"
11747,"Unable to determine price move limit for this security"
11748,"The price for this security should be in range from  to"
11749,"Only one of RepoValue or Quantity can be specified"
11750,"REPO price is not defined"
11751,"Starting discount must not be specified."
11752,"Discount limits must not be specified."
11754,"You have got a deferred money debt. This debt should be settled by the end of this day or tomorrow during the settlement with the Central counterparty."
11755,"You have got deferred security debts. These debts should be settled by the end of this day or tomorrow during the settlement with the Central counterparty."
11756,"You have got a default on collaterals. All the defaults on collaterals must be settled by 15:00 today."
11757,"You have got an unsettled deferred money debt. The default settlement procedure will be enforced."
11758,"You have got an unsettled collaterals default. The default settlement procedure will be enforced."
11759,"You have got a deferred money claim. This claim will be satisfied by the Central counterparty either by the end of this day or tomorrow during the settlement with CC."
11760,"You have got deferred security claims. Claims will be satisfied by the Central counterparty either by the end of this day or tomorrow during the settlement with CC."
11761,"The firm's limit on liabilities to the Central counterparty has been exceeded."
11782,"Simple report can not be complex"
11783,"Client code is suspended"
11784,"Specified tradesuccessfully notified as payment pended"
11786,"Operations suspended by Firm Manager or Trading System Superviser"
11787,"User successfully suspended"
11788,"User successfully suspended. Orders withdrawn"
11789,"User successfully Unsuspended"
11790,"The total amount of deferred debts of the unconscionable clearing participants exceeds the limit set for the settlement with the Central counterparty. CC's own assets will not be used during the settlement."
11791,"There are no deferred debts for the settlement with the Central counterparty"
11792,"You have got deferred security claims on the board for the position  caused by the default on this position. Claims will be settled by the Central counterparty after the default settlement."
11793,"You have got a deferred money claim on the board for the position  caused by the default on this position. Claim will be settled by the Central counterparty after the default settlement."
11794,"The total amount of deferred debts of the unconscionable clearing participants does not exceed the limit set for the settlement with the Central counterparty. CC's own assets will be used during the settlement."
11795,"United limit breached"
11796,"Trading limit breached"
11797,"Limit for currency"
11802,"Cash position for currency will be breached"
11804,"Value must not be specified for position withdraw flag"
11805,"Value must be negative for specified position withdraw flag"
11807,"Bank Account is in default mode"
11808,"Bank Account is not in default mode"
11809,"Bank Account is in early settle mode"
11810,"Bank Account is in trading closed mode"
11812,"Limits will be breached for position"
11813,"Cannot cancel trade. Parent trade should be canceled"
11814,"Maximum order hidden quantity ratio is incorrect"
11815,"Minimum order visible quantity value is incorrect"
11816,"Hidden quantity can not be specified for market maker order"
11817,"Minimum order visible quantity is less than allowed"
11819,"Buy order accepted (closing auction)"
11820,"Sell order accepted (closing auction)"
11821,"Events in past time are not allowed"
11822,"Buy order accepted (dark pool)"
11823,"Sell order accepted (dark pool)"
11824,"Client code type must a legal entity"
11826,"Matchref must not be specified for this type of counter party"
11827,"Allowed only trades with the same bank account for this period"
11828,"Trading Account has not enougth permissions for that type of reports"
11829,"Either price or volume must be specified in the order"
11830,"Counterparty should be specified for orders by value"
11831,"Invalid price resulted"
11832,"Buy order  accepted (discrete auction)"
11833,"Sell order  accepted (discrete auction)"
11834,"Discrete auction has started for"
11835,"Discrete auction has finished for. Normal trading period will continue."
11836,"Discrete auction for has finished, but not all of the conditions required to determine auction price have been met. The new Discrete auction has started."
11837,"Discrete auction has finished for."
11839,"Either quantity or volume must be specified in the order"
11840,"Collateral position has been breached:"
11841,"Transfer accepted, matched"
11843,"Offering qty updated"
11844,"Delivery obligations on buy are not specified. Order rejected."
11845,"Delivery obligations on sell are not specified. Order rejected."
11846,"Delivery obligations exceeded on securities. Order rejected."
11847,"For specific trading account could not found CCP trading acount"
11848,"CCP trading acount is suspending"
11849,"Trading in securities not allowed for the trading account, tied to the securities account of a foreign nominee."
11850,"Sell Market orders specified by value are not allowed"
11851,"For Market orders on buy allowed specification by value only in current trade period."
11852,"Close Auction Price is not defined. Order rejected."
11853,"Only orders with Close Auction Price are available. Close Auction Price is ."
11854,"Activation time orders cannot have other type event activation"
11855,"Buy order  accepted (Activation at the closing auction)"
11856,"Sell order  accepted (Activation at the closing auction)"
11857,"For the odd lots board the order balance can not exceed the security's lot size on main board"
11858,"Unable to accept deal. Invalid baseprice specified"
11859,"Baseprice can not be specified for this sec"
11862,"Trading with TODAY settlement is over"
11863,"Limit order specified by value is not allowed"
11864,"Fill Withdraw option of order is not allowed for selected Tradind Period"
11865,"For this instrument BasePrice is less than allowed"
11866,"For this instrument BasePrice is greater than allowed"
11867,"For this instrument SWAP Price is less than allowed"
11868,"For this instrument SWAP Price is greater than allowed"
