"Code","Message"
4070,"Unable to process the exercise request: insufficient amount of positions in the client account."
4090,"No active sessions."
4091,"Client code not found."
4092,"Underlying's code not found."
4093,"Futures contract not found."
4094,"Futures contract does not match the selected underlying."
4095,"Partial selection of futures contracts not accepted: underlying flag set 'For all'."
4096,"Unable to remove restriction: no restriction set."
4097,"Unable to remove: the Chief Trader's restriction cannot be removed by Brokerage Firm trader."
4098,"Security not found in the current trading session."
4099,"Both securities must have the same underlying."
4100,"Exercise date of the near leg of a multi-leg order must not be later than that of the far leg."
4101,"Unable to make a multi-leg order: lots are different."
4102,"No position to move."
4103,"The FOK order has not been fully matched."
4104,"Anonymous repo order must contain a repo type."
4105,"Order containing a repo type is restricted in this multi-leg order."
4106,"Multi-leg orders can be added only on the Money Market."
4107,"This procedure is not eligible for adding orders for multi-leg securities."
4108,"Unable to trade risk-netting instruments in T0: insufficient rights."
4109,"Rate/swap price is not a multiple of the tick size."
4110,"The near leg price differs from the settlement price."
4111,"The rate/swap price exceeds the limit allowed."
4112,"Unable to set restrictions for multi-leg futures."
4115,"Unable to transfer funds between Brokerage Firm accounts: no active sessions."
4116,"Unable to transfer funds between Brokerage Firm accounts: the donor Brokerage Firm is not registered for trading."
4117,"Unable to transfer funds between Brokerage Firms: the receiving Brokerage Firm is not registered for trading."
4118,"Brokerage Firm does not have sufficient amount of free funds."
4119,"Brokerage Firm does not have sufficient amount of collateral."
4120,"Insufficient amount of free funds in the balance of the Separate Account."
4121,"Insufficient amount of collateral in the balance of the Separate Account."
4122,"Clearing Firm does not have sufficient amount of free funds."
4123,"Brokerage Firm does not have sufficient amount of collateral."
4124,"Brokerage Firm code not found."
4125,"Unable to transfer funds between accounts of different Clearing Firms."
4126,"Unable to transfer: error while transferring."
4127,"Insufficient free funds in the Settlement Account."
4128,"Brokerage firm does not have sufficient amount of free funds."
4129,"Insufficient amount of free funds in the balance of the Separate Account."
4130,"Clearing Firm does not have sufficient amount of free funds."
4131,"Brokerage Firm code not found."
4132,"Unable to withdraw: error in withdrawal logic."
4133,"No requests to cancel."
4134,"Brokerage Firm does not have sufficient amount of funds."
4135,"Clearing firm does not have sufficient amount of funds."
4136,"Prohibited to transfer pledged funds."
4137,"Brokerage Firm does not have sufficient amount of pledged funds."
4138,"Insufficient funds to withdraw from the Settlement Account."
4139,"Insufficient free collateral in the Settlement Account."
4140,"Unable to transfer: position not found."
4141,"Unable to transfer: insufficient number of open positions."
4142,"Cannot transfer positions from the client account to an account with a different ITN."
4143,"Unable to transfer position: the Brokerage Firms specified belong to different Clearing Firms."
4144,"Cannot transfer positions to 'XXYY000' Brokerage Firm account."
4145,"Unable to transfer positions for the selected Brokerage Firm: restricted by the Trading Administrator."
4146,"Transferring positions in the selected securities is prohibited."
4147,"Option contract not found."
